batch_id,fecha_monitoreo,variable,tipo,psi,ks,js,chi2_pvalue,metrica_principal,valor_principal,estado
3,2026-09-24T20:11:02,plazo_meses,numerica,0.0639315889030344,0.0587154471544715,0.1065774673363506,,psi,0.0639315889030344,estable
3,2026-09-24T20:11:02,puntaje_datacredito,numerica,0.4706348221386454,0.2744407161250931,0.2837271297984134,,psi,0.4706348221386454,drift
3,2026-09-24T20:11:02,huella_consulta,numerica,0.0138352470094752,0.0465354239256678,0.0499241980187541,,psi,0.0138352470094752,estable
3,2026-09-24T20:11:02,salario_cliente,numerica,0.5015686739166287,0.2679690249912003,0.2737050352842261,,psi,0.5015686739166287,drift
3,2026-09-24T20:11:02,total_otros_prestamos,numerica,0.099055960420188,0.0732440778957815,0.1321439551737512,,psi,0.099055960420188,estable
3,2026-09-24T20:11:02,cuota_pactada,numerica,0.0079486964642279,0.0387921022067363,0.0378360129512546,,psi,0.0079486964642279,estable
3,2026-09-24T20:11:02,cant_creditosvigentes,numerica,0.0081488850180968,0.0329303135888501,0.0383208544854425,,psi,0.0081488850180968,estable
3,2026-09-24T20:11:02,saldo_mora,numerica,0.0,0.0037430572325525,0.0,,psi,0.0,estable
3,2026-09-24T20:11:02,saldo_principal,numerica,0.0975498930601186,0.0711823428639806,0.1306246441738313,,psi,0.0975498930601186,estable
3,2026-09-24T20:11:02,promedio_ingresos_datacredito,numerica,0.1958694538720238,0.091775893520708,0.1836938027295921,,psi,0.1958694538720238,alerta
3,2026-09-24T20:11:02,ratio_cuota_salario,numerica,0.0214345348356302,0.0419751901272492,0.0621100418475406,,psi,0.0214345348356302,estable
3,2026-09-24T20:11:02,tipo_laboral,categorica,0.0326035992541613,,0.0766210016462889,5.31326857207984e-08,js,0.0766210016462889,estable
3,2026-09-24T20:11:02,tipo_credito,categorica,1.806782682973308,,0.4220701798334657,0.0,js,0.4220701798334657,drift
3,2026-09-24T20:11:02,tendencia_ingresos_limpia,categorica,0.1002630993056447,,0.1339804402924591,2.0760864853884933e-21,js,0.1339804402924591,estable
3,2026-09-24T20:11:02,prediccion,prediccion,0.104412371904939,0.1568176538908246,0.136777195963711,,psi,0.104412371904939,alerta
4,2026-09-24T20:11:02,edad_cliente,numerica,0.0163110472766214,0.0312475732226671,0.0542029351461545,,psi,0.0163110472766214,estable
4,2026-09-24T20:11:02,capital_prestado,numerica,0.009933356050972,0.0244576074332171,0.0423035094162472,,psi,0.009933356050972,estable
4,2026-09-24T20:11:02,plazo_meses,numerica,0.0572171602360091,0.0893495934959349,0.1010537655324501,,psi,0.0572171602360091,estable
4,2026-09-24T20:11:02,puntaje_datacredito,numerica,0.4280647196573418,0.264752302756408,0.272088125353113,,psi,0.4280647196573418,drift
4,2026-09-24T20:11:02,huella_consulta,numerica,0.011600779807938,0.0435354239256678,0.0457174594306871,,psi,0.011600779807938,estable
4,2026-09-24T20:11:02,salario_cliente,numerica,0.5824012114582607,0.2650875360350392,0.2804816200082859,,psi,0.5824012114582607,drift
4,2026-09-24T20:11:02,total_otros_prestamos,numerica,0.1180430034612568,0.0583632980579137,0.1444020485469043,,psi,0.1180430034612568,alerta
4,2026-09-24T20:11:02,cuota_pactada,numerica,0.0053498497170141,0.0358513356562137,0.0310542490789895,,psi,0.0053498497170141,estable
4,2026-09-24T20:11:02,cant_creditosvigentes,numerica,0.0057500217954559,0.0251881533101045,0.0321905118503451,,psi,0.0057500217954559,estable
4,2026-09-24T20:11:02,saldo_mora,numerica,0.0,0.0041254125412541,0.0,,psi,0.0,estable
4,2026-09-24T20:11:02,saldo_principal,numerica,0.0687625616362004,0.0701363177593781,0.1101667456857038,,psi,0.0687625616362004,estable
4,2026-09-24T20:11:02,promedio_ingresos_datacredito,numerica,0.3050994275570928,0.1290968124438164,0.2246700292750376,,psi,0.3050994275570928,drift
4,2026-09-24T20:11:02,ratio_cuota_salario,numerica,0.0132802191997645,0.0262388482142402,0.048911112310203,,psi,0.0132802191997645,estable
4,2026-09-24T20:11:02,tipo_laboral,categorica,0.0149460859081305,,0.0518979646928194,0.0002507862852877,js,0.0518979646928194,estable
4,2026-09-24T20:11:02,tipo_credito,categorica,1.820494479702007,,0.4286566330480257,0.0,js,0.4286566330480257,drift
4,2026-09-24T20:11:02,tendencia_ingresos_limpia,categorica,0.0715872064517031,,0.1133165047784486,4.906612512072517e-15,js,0.1133165047784486,estable
4,2026-09-24T20:11:02,prediccion,prediccion,0.1074674951709563,0.1485981416957026,0.1386199114394223,,psi,0.1074674951709563,alerta
5,2026-09-24T20:11:02,edad_cliente,numerica,0.011019866690612076,0.032900912474728906,0.0445488474283955,,psi,0.011019866690612076,estable
5,2026-09-24T20:11:02,capital_prestado,numerica,0.01726406627109264,0.039684088269454125,0.05574292006069484,,psi,0.01726406627109264,estable
5,2026-09-24T20:11:02,plazo_meses,numerica,0.06727720437062923,0.06671544715447154,0.10903379003175706,,psi,0.06727720437062923,estable
5,2026-09-24T20:11:02,puntaje_datacredito,numerica,0.38646742347221835,0.25154092064258693,0.2589141476060883,,psi,0.38646742347221835,drift
5,2026-09-24T20:11:02,huella_consulta,numerica,0.009960610507611649,0.027535423925667827,0.04236273996824466,,psi,0.009960610507611649,estable
5,2026-09-24T20:11:02,salario_cliente,numerica,0.5282486660440973,0.25552647104025067,0.27241541662546015,,psi,0.5282486660440973,drift
5,2026-09-24T20:11:02,total_otros_prestamos,numerica,0.11542404612752365,0.06877490352313007,0.14250796940093496,,psi,0.11542404612752365,alerta
5,2026-09-24T20:11:02,cuota_pactada,numerica,0.014692771777064292,0.033534262485482,0.051418389546436655,,psi,0.014692771777064292,estable
5,2026-09-24T20:11:02,cant_creditosvigentes,numerica,0.007656813439688326,0.03218815331010453,0.037149917124753296,,psi,0.007656813439688326,estable
5,2026-09-24T20:11:02,saldo_mora,numerica,0.0,0.004125412541254125,0.0,,psi,0.0,estable
5,2026-09-24T20:11:02,saldo_principal,numerica,0.09052538878922885,0.06961498462572234,0.12545882517727247,,psi,0.09052538878922885,estable
5,2026-09-24T20:11:02,promedio_ingresos_datacredito,numerica,0.22556001036525591,0.14494724058400227,0.19700476282880214,,psi,0.22556001036525591,alerta
5,2026-09-24T20:11:02,ratio_cuota_salario,numerica,0.006345767784024942,0.019138059614285503,0.03381905790114403,,psi,0.006345767784024942,estable
5,2026-09-24T20:11:02,tipo_laboral,categorica,0.037867397708339905,,0.08256538479348412,4.38016526359429e-09,js,0.08256538479348412,estable
5,2026-09-24T20:11:02,tipo_credito,categorica,1.5518303448756714,,0.3952537532298193,0.0,js,0.3952537532298193,drift
5,2026-09-24T20:11:02,tendencia_ingresos_limpia,categorica,0.10332809153401307,,0.13599093270367166,4.783492472641552e-22,js,0.13599093270367166,estable
5,2026-09-24T20:11:02,prediccion,prediccion,0.0953392408508354,0.1410766550522648,0.13073020116023037,,psi,0.0953392408508354,estable
